category,type,name,url,url_img,price,stock,manufacturer,flush,spec,housing,connection,size,material,IP,output_structure,voltage,output_type,adjust,distance,indicator,temperature
Индуктивные датчики,Индуктивный датчик,ISB A41A-31N-5-LZ-O,https://teko-com.ru/product/isb-a41a-31n-5-lz-o.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1790,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,NPN,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-22-5-LP,https://teko-com.ru/product/isb-a41a-22-5-lp.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1550,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,10-30 [DC],NC,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-21-5-LP-C,https://teko-com.ru/product/isb-a41a-21-5-lp-c.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,2300,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,10-30 [DC],NO,Нет,5.0,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,"ISB A3B-31P-3,5-LZ-C-V",https://teko-com.ru/product/isb-a3b-31p-3-5-lz-c-v.html,/static/main/img/ind_TEKO/ISBm-A3B8-31P-4-LZ-D-VP-3K-image-228x228.jpg,2350,По запросу,TEKO,Встраиваемый,В условиях повышенной вибрации ,Цилиндрический с резьбой,Кабель,∅16,Латунь,IP 67,PNP,10-30 [DC],NO,Нет,3.5,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,"ISB A3A-43P-3,5-LZ",https://teko-com.ru/product/isb-a3a-43p-3-5-lz.html,/static/main/img/ind_TEKO/ISB_A3A_3d-228x228.jpg,1640,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅16,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,3.5,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,"ISB A3A-32P-3,5-LZ-C",https://teko-com.ru/product/isb-a3a-32p-3-5-lz-c.html,/static/main/img/ind_TEKO/ISB_A3A_3d-228x228.jpg,2050,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅16,Алюминий,IP 67,PNP,10-30 [DC],NC,Нет,3.5,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,"ISB A3A-32N-3,5-LZ-3",https://teko-com.ru/product/isb-a3a-32n-3-5-lz-3.html,/static/main/img/ind_TEKO/ISB_A3A_3d-228x228.jpg,1630,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅16,Алюминий,IP 67,NPN,10-30 [DC],NC,Нет,3.5,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,"ISB A3A-32N-3,5-LZ",https://teko-com.ru/product/isb-a3a-32n-3-5-lz.html,/static/main/img/ind_TEKO/ISB_A3A_3d-228x228.jpg,1850,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅16,Алюминий,IP 67,NPN,10-30 [DC],NC,Нет,3.5,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,"ISB A3A-31N-3,5-LZ-C-5",https://teko-com.ru/product/isb-a3a-31n-3-5-lz-c-5.html,/static/main/img/ind_TEKO/ISB_A3A_3d-228x228.jpg,2390,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅16,Алюминий,IP 67,NPN,10-30 [DC],NO,Нет,3.5,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,ISB A2B-43P-4-LZ,https://teko-com.ru/product/isb-a2b-43p-4-lz.html,/static/main/img/ind_TEKO/ISB_20A2B-228x228.jpg,1630,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,PNP,10-30 [DC],NO и NC,Нет,4.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2B-43P-2-LZ,https://teko-com.ru/product/isb-a2b-43p-2-lz.html,/static/main/img/ind_TEKO/ISB_20A2B-228x228.jpg,1360,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,PNP,10-30 [DC],NO и NC,Нет,2.0,Есть,-15...+65
